replicate,p1_mean,p2_mean,h_mean,p1_sd,p2_sd,h_sd,p1_cv,p2_cv,h_cv,linkage,gene_action,p1_af,p2_af,esize,ss,ns
20,0.904,0.104,0.491,0.052333311668612,0.0637597531554897,0.0636396103067893,0.0578908314918274,0.613074549572016,0.129612240950691,unlinked,additive,0.9,0.1,esize0.1,noss,nons
21,0.891,0.092,0.494,0.0667694785460102,0.0702473763036814,0.0651841974088562,0.0749376863591585,0.763558438083494,0.131951816617118,unlinked,additive,0.9,0.1,esize0.1,noss,nons
22,0.917,0.108,0.509,0.0602799591024061,0.060911444586651,0.0773871792366415,0.0657360513657646,0.563994857283805,0.152037680229158,unlinked,additive,0.9,0.1,esize0.1,noss,nons
23,0.911,0.099,0.492,0.064118831007715,0.0710633520177595,0.0702473763036814,0.0703829099974918,0.717811636543025,0.142779220129434,unlinked,additive,0.9,0.1,esize0.1,noss,nons
24,0.908,0.083,0.498,0.0716852530873964,0.046958514039696,0.0597272713153339,0.0789485166160754,0.565765229393928,0.119934279749667,unlinked,additive,0.9,0.1,esize0.1,noss,nons
25,0.883,0.086,0.488,0.0635754412858761,0.0631163486696415,0.0759699188589048,0.0719993672546728,0.733911031042343,0.155676063235461,unlinked,additive,0.9,0.1,esize0.1,noss,nons
26,0.901,0.095,0.501,0.0658461410085229,0.0573656371578893,0.057578695039476,0.0730811775899255,0.603848812188309,0.114927535008934,unlinked,additive,0.9,0.1,esize0.1,noss,nons
27,0.915,0.088,0.492,0.0591176619901673,0.0718274576570088,0.065745334280022,0.0646094666559205,0.816221109738736,0.133628728211427,unlinked,additive,0.9,0.1,esize0.1,noss,nons
28,0.888,0.098,0.495,0.0732343178170074,0.0728151139278552,0.0632858755238191,0.0824710786227561,0.743011366610767,0.127850253583473,unlinked,additive,0.9,0.1,esize0.1,noss,nons
29,0.921,0.094,0.513,0.064752275194445,0.0766918030369688,0.0761376304826346,0.070306487724696,0.815870245074137,0.148416433689346,unlinked,additive,0.9,0.1,esize0.1,noss,nons
30,0.894,0.108,0.515,0.0682432623571211,0.0737895518293998,0.0640869944461656,0.0763347453659072,0.683236591012961,0.124440765914885,unlinked,additive,0.9,0.1,esize0.1,noss,nons
31,0.916,0.109,0.517,0.065807387464463,0.0786947084806669,0.0704287163139628,0.0718421260529072,0.721969802574925,0.136225756893545,unlinked,additive,0.9,0.1,esize0.1,noss,nons
32,0.907,0.105,0.521,0.0670135533047652,0.0790569415042095,0.0808690046826802,0.0738848437759264,0.752923252421043,0.155218818968676,unlinked,additive,0.9,0.1,esize0.1,noss,nons
33,0.899,0.102,0.506,0.0642777772878094,0.0713999942834274,0.062792174216674,0.0714991960932251,0.699999943955171,0.124095205961806,unlinked,additive,0.9,0.1,esize0.1,noss,nons
34,0.883,0.101,0.505,0.0651607118388599,0.0792116771437038,0.0828386678910229,0.0737946906442355,0.78427403112578,0.164036966120837,unlinked,additive,0.9,0.1,esize0.1,noss,nons
35,0.897,0.09,0.492,0.064214245987593,0.0721393209883006,0.0649646685765833,0.071587788169,0.801548010981117,0.132042009301999,unlinked,additive,0.9,0.1,esize0.1,noss,nons
